sampleid	SampleName	spots_with_mates	category
SRR8691468	Water_control_10648	747	water_control
SRR8691497	Water_control_10879	250	water_control
SRR8691469	Water_control_10880	590	water_control
SRR8691496	Water_control_10980	692	water_control
SRR8691479	Water_control_11110	119	water_control
SRR8691481	Water_control_11234	12	water_control
SRR8691493	Water_control_11581	7075	water_control
SRR8691492	Water_control_11739	1482	water_control
SRR8691491	Water_control_11877	123	water_control
SRR8691490	Water_control_12644	57	water_control
SRR8691480	Water_control_12654	2823	water_control
SRR8691478	Water_control_12757	345	water_control
SRR8691466	Water_control_12817	82	water_control
SRR8691467	Water_control_12841	379	water_control
SRR8691465	DNA_extract_control_10653	283	DNA_extraction_control
SRR8691464	DNA_extract_control_10708	249	DNA_extraction_control
SRR8691463	DNA_extract_control_10709	1134	DNA_extraction_control
SRR8691462	DNA_extract_control_10712	491	DNA_extraction_control
SRR8691461	DNA_extract_control_11233	1036	DNA_extraction_control
SRR8691460	DNA_extract_control_11866	220	DNA_extraction_control
SRR8691459	DNA_extract_control_11871	274	DNA_extraction_control
SRR9974006	C166_control_12_Healthy_12780	25114	healthy
SRR9974005	C166_control_13_Healthy_13209	32414	healthy
SRR9974008	C166_control_14_Healthy_13211	70409	healthy
SRR9974007	C166_control_15_Healthy_13212	38505	healthy
SRR9974002	C166_control_16_Healthy_13218	145781	healthy
SRR9974001	C166_control_17_Healthy_13364	120507	healthy
SRR9974004	C166_control_18_Healthy_13370	120613	healthy
SRR9974003	C166_control_19_Healthy_13371	126126	healthy
SRR9974000	C166_control_20_Healthy_13380	166330	healthy
SRR9973999	C166_control_21_Healthy_13383	230879	healthy
SRR9973998	C166_control_22_Healthy_13394	102290	healthy
SRR9973997	C166_control_23_Healthy_13396	220665	healthy
SRR9973996	C166_control_24_Healthy_13397	161102	healthy
SRR9973995	C166_control_25_Healthy_13398	165075	healthy
SRR8445555	C166_control_11_Healthy_12754	1889	healthy
SRR8445632	C166_control_8_Healthy_12753	26057	healthy
SRR8445660	C166_control_10_Healthy_12629	49886	healthy
SRR8445661	C166_control_11_Healthy_12630	4938	healthy
SRR8445678	C166_control_1_Healthy_12620	51241	healthy
SRR8445666	C166_control_2_Healthy_12621	23520	healthy
SRR8445667	C166_control_3_Healthy_12622	15750	healthy
SRR8445668	C166_control_4_Healthy_12623	37222	healthy
SRR8445669	C166_control_5_Healthy_12624	19948	healthy
SRR8445662	C166_control_6_Healthy_12625	37561	healthy
SRR8445663	C166_control_7_Healthy_12626	36422	healthy
SRR8445664	C166_control_8_Healthy_12627	10728	healthy
SRR8445665	C166_control_9_Healthy_12628	33486	healthy
SRR8691458	Mock_control_10647	69236	mockCommunity
SRR8691457	Mock_control_10878	27571	mockCommunity
SRR8691456	Mock_control_10981	61495	mockCommunity
SRR8691487	Mock_control_11111	31759	mockCommunity
SRR8691486	Mock_control_11235	4	mockCommunity
SRR8691489	Mock_control_11458	14837	mockCommunity
SRR8691488	Mock_control_11459	54	mockCommunity
SRR8691483	Mock_control_11460	18341	mockCommunity
SRR8691482	Mock_control_11518	31855	mockCommunity
SRR8691485	Mock_control_11519	36605	mockCommunity
SRR8691484	Mock_control_11520	54320	mockCommunity
SRR8691495	Mock_control_11737	703	mockCommunity
SRR8691494	Mock_control_11738	49182	mockCommunity
SRR8691470	Mock_control_11797	7803	mockCommunity
SRR8691471	Mock_control_11798	25599	mockCommunity
SRR8691472	Mock_control_11876	14427	mockCommunity
SRR8691473	Mock_control_12643	5270	mockCommunity
SRR8691474	Mock_control_12653	30391	mockCommunity
SRR8691475	Mock_control_12756	101746	mockCommunity
SRR8691476	Mock_control_12816	17722	mockCommunity
SRR8691477	Mock_control_12840	112746	mockCommunity
SRR8445473	C166_22_Day0_11732	20319	day0CE
SRR8445487	C166_01_Day0_10943	21711	day0CE
SRR8445510	C166_01_Day0_11535	51325	day0CE
SRR8445491	C166_03_Day0_10947	42208	day0CE
SRR8445509	C166_03_Day0_11534	71777	day0CE
SRR8445520	C166_08_Day0_10939	64161	day0CE
SRR8445513	C166_08_Day0_11529	26893	day0CE
SRR8445533	C166_09_Day0_10805	2099	day0CE
SRR8445523	C166_09_Day0_10934	68700	day0CE
SRR8445514	C166_11_Day0_11530	110906	day0CE
SRR8445482	C166_22_Day0_11545	54932	day0CE
SRR8445500	C166_24_Day0_11758	60087	day0CE
SRR8445531	C166_33_Day0_12193	105444	day0CE
SRR8445586	C166_03_Day0_11555	5835	day0CE
SRR8445591	C166_05_Day0_10823	54971	day0CE
SRR8445560	C166_10_Day0_12636	15194	day0CE
SRR8445537	C166_11_Day0_10911	33817	day0CE
SRR8445569	C166_12_Day0_10847	41874	day0CE
SRR8445541	C166_21_Day0_10905	35563	day0CE
SRR8445538	C166_22_Day0_10910	5722	day0CE
SRR8445545	C166_23_Day0_10909	45400	day0CE
SRR8445582	C166_23_Day0_11699	554	day0CE
SRR8445551	C166_25_Day0_12223	77007	day0CE
SRR8445571	C166_27_Day0_11720	336	day0CE
SRR8445579	C166_31_Day0_11696	24734	day0CE
SRR8445587	C166_32_Day0_11700	65187	day0CE
SRR8445558	C166_34_Day0_12641	11159	day0CE
SRR8445563	C166_42_Day0_12631	8667	day0CE
SRR8445556	C166_42_Day0_12755	26169	day0CE
SRR8445611	C166_01_Day0_10815	1641	day0CE
SRR8445616	C166_03_Day0_10814	1103	day0CE
SRR8445595	C166_06_Day0_10828	57289	day0CE
SRR8445630	C166_08_Day0_10809	1698	day0CE
SRR8445598	C166_10_Day0_10832	13556	day0CE
SRR8445615	C166_11_Day0_10810	713	day0CE
SRR8445631	C166_13_Day0_10850	95337	day0CE
SRR8445645	C166_18_Day0_10885	54930	day0CE
SRR8445620	C166_24_Day0_11728	190	day0CE
SRR8445624	C166_25_Day0_11724	183	day0CE
SRR8445653	C166_26_Day0_11740	49258	day0CE
SRR8445633	C166_27_Day0_12752	119316	day0CE
SRR8445636	C166_30_Day0_12652	210885	day0CE
SRR8445602	C166_33_Day0_11703	8246	day0CE
SRR8445607	C166_34_Day0_11706	8523	day0CE
SRR8445639	C166_36_Day0_12647	157176	day0CE
SRR8445659	C166_20_Day0_10892	55433	day0CE
SRR8445673	C166_39_Day0_12230	74437	day0CE
SRR8445672	C166_40_Day0_12231	62349	day0CE
SRR8445629	C166_18_Day0_10656	89195	day0CE
SRR8445472	C166_22_Day14_11733	156	day14CE
SRR8445486	C166_01_Day14_10944	45019	day14CE
SRR8445507	C166_01_Day14_11536	50488	day14CE
SRR8445516	C166_08_Day14_10941	42390	day14CE
SRR8445505	C166_08_Day14_11540	157	day14CE
SRR8445484	C166_09_Day14_10838	39541	day14CE
SRR8445524	C166_09_Day14_10935	50137	day14CE
SRR8445481	C166_09_Day14_11542	51129	day14CE
SRR8445476	C166_09_Day14_11547	26950	day14CE
SRR8445521	C166_11_Day14_10912	94	day14CE
SRR8445490	C166_11_Day14_11108	33322	day14CE
SRR8445512	C166_11_Day14_11533	77076	day14CE
SRR8445477	C166_11_Day14_11546	54717	day14CE
SRR8445525	C166_22_Day14_12206	333	day14CE
SRR8445496	C166_24_Day14_12188	88799	day14CE
SRR8445498	C166_30_Day14_11748	31649	day14CE
SRR8445534	C166_31_Day14_12211	77087	day14CE
SRR8445530	C166_33_Day14_12194	68077	day14CE
SRR8445527	C166_34_Day14_12201	38087	day14CE
SRR8445592	C166_05_Day14_10824	36166	day14CE
SRR8445589	C166_08_Day14_10835	12626	day14CE
SRR8445575	C166_10_Day14_10841	69816	day14CE
SRR8445573	C166_11_Day14_10843	90948	day14CE
SRR8445567	C166_11_Day14_12637	21126	day14CE
SRR8445568	C166_18_Day14_10696	59284	day14CE
SRR8445540	C166_20_Day14_10893	69670	day14CE
SRR8445544	C166_21_Day14_10906	51179	day14CE
SRR8445566	C166_22_Day14_12638	30279	day14CE
SRR8445547	C166_23_Day14_12219	134173	day14CE
SRR8445552	C166_25_Day14_12224	87745	day14CE
SRR8445577	C166_27_Day14_11721	17556	day14CE
SRR8445564	C166_27_Day14_12640	62886	day14CE
SRR8445580	C166_31_Day14_11697	487	day14CE
SRR8445588	C166_32_Day14_11701	21090	day14CE
SRR8445557	C166_34_Day14_12642	19556	day14CE
SRR8445562	C166_42_Day14_12632	52695	day14CE
SRR8445610	C166_01_Day14_10816	1658	day14CE
SRR8445612	C166_06_Day14_10818	46849	day14CE
SRR8445617	C166_11_Day14_10813	1983	day14CE
SRR8445642	C166_12_Day14_10848	33095	day14CE
SRR8445599	C166_13_Day14_10851	34705	day14CE
SRR8445604	C166_23_Day14_11709	4276	day14CE
SRR8445621	C166_24_Day14_11729	215	day14CE
SRR8445625	C166_25_Day14_11725	227	day14CE
SRR8445652	C166_26_Day14_11741	113795	day14CE
SRR8445601	C166_33_Day14_11704	255	day14CE
SRR8445606	C166_34_Day14_11707	1345	day14CE
SRR8445641	C166_35_Day14_12645	21569	day14CE
SRR8445638	C166_36_Day14_12648	124684	day14CE
SRR8445680	C166_03_Day14_10808	103534	day14CE
SRR8445677	C166_39_Day14_12234	67696	day14CE
SRR8445676	C166_40_Day14_12235	41969	day14CE
SRR8445474	C166_08_Day28_11551	55198	day28CE
SRR8445471	C166_24_Day28_11730	3471	day28CE
SRR8445485	C166_01_Day28_10945	40413	day28CE
SRR8445494	C166_01_Day28_11527	15862	day28CE
SRR8445515	C166_08_Day28_10940	30507	day28CE
SRR8445506	C166_08_Day28_11541	31293	day28CE
SRR8445517	C166_09_Day28_10936	33805	day28CE
SRR8445480	C166_09_Day28_11543	60878	day28CE
SRR8445479	C166_09_Day28_11548	54219	day28CE
SRR8445504	C166_30_Day28_11867	20811	day28CE
SRR8445495	C166_31_Day28_11868	58023	day28CE
SRR8445503	C166_32_Day28_11794	87430	day28CE
SRR8445501	C166_33_Day28_11792	70925	day28CE
SRR8445529	C166_33_Day28_12195	63671	day28CE
SRR8445502	C166_34_Day28_11793	99459	day28CE
SRR8445584	C166_01_Day28_11553	1709	day28CE
SRR8445593	C166_05_Day28_10825	37892	day28CE
SRR8445590	C166_08_Day28_10836	6040	day28CE
SRR8445576	C166_09_Day28_10839	35535	day28CE
SRR8445572	C166_11_Day28_10844	62641	day28CE
SRR8445559	C166_18_Day28_10713	34589	day28CE
SRR8445539	C166_20_Day28_10903	66099	day28CE
SRR8445543	C166_21_Day28_10907	49610	day28CE
SRR8445548	C166_23_Day28_12220	69893	day28CE
SRR8445554	C166_27_Day28_12222	68409	day28CE
SRR8445613	C166_03_Day28_10817	60140	day28CE
SRR8445619	C166_06_Day28_10819	87976	day28CE
SRR8445655	C166_10_Day28_10845	35628	day28CE
SRR8445643	C166_12_Day28_10849	42198	day28CE
SRR8445646	C166_13_Day28_10852	31768	day28CE
SRR8445651	C166_22_Day28_11734	524	day28CE
SRR8445635	C166_22_Day28_12750	49370	day28CE
SRR8445609	C166_23_Day28_11718	149	day28CE
SRR8445634	C166_24_Day28_12751	180227	day28CE
SRR8445622	C166_25_Day28_11726	238	day28CE
SRR8445649	C166_26_Day28_11742	96519	day28CE
SRR8445626	C166_27_Day28_11722	282	day28CE
SRR8445682	C166_01_Day28_10806	1393	day28CE
SRR8445671	C166_01_Day28_12227	46480	day28CE
SRR8445656	C166_25_Day28_12225	81830	day28CE
SRR8445670	C166_39_Day28_12229	85663	day28CE
SRR8445674	C166_40_Day28_12233	21091	day28CE
SRR8445647	C166_11_Day35_10853	65102	day35CE
SRR8445492	C166_01_Day42_10946	21486	day42CE
SRR8445489	C166_01_Day42_11517	63756	day42CE
SRR8445493	C166_01_Day42_11528	43612	day42CE
SRR8445488	C166_05_Day42_10942	40536	day42CE
SRR8445511	C166_05_Day42_11532	55760	day42CE
SRR8445518	C166_09_Day42_10937	43948	day42CE
SRR8445478	C166_09_Day42_11549	21469	day42CE
SRR8445522	C166_10_Day42_10913	72684	day42CE
SRR8445483	C166_10_Day42_11544	73372	day42CE
SRR8445532	C166_24_Day42_12189	183724	day42CE
SRR8445499	C166_30_Day42_11754	95991	day42CE
SRR8445528	C166_33_Day42_12196	81380	day42CE
SRR8445526	C166_34_Day42_12202	49192	day42CE
SRR8445585	C166_01_Day42_11554	5500	day42CE
SRR8445583	C166_05_Day42_11552	52689	day42CE
SRR8445578	C166_08_Day42_10837	66199	day42CE
SRR8445570	C166_10_Day42_10846	11970	day42CE
SRR8445536	C166_13_Day42_10705	26049	day42CE
SRR8445574	C166_13_Day42_10842	25065	day42CE
SRR8445542	C166_20_Day42_10904	48934	day42CE
SRR8445546	C166_21_Day42_10908	58459	day42CE
SRR8445535	C166_22_Day42_12207	205	day42CE
SRR8445565	C166_22_Day42_12639	43102	day42CE
SRR8445553	C166_23_Day42_12221	91657	day42CE
SRR8445581	C166_31_Day42_11698	2080	day42CE
SRR8445549	C166_31_Day42_12212	62137	day42CE
SRR8445561	C166_42_Day42_12633	53206	day42CE
SRR8445614	C166_05_Day42_10812	927	day42CE
SRR8445618	C166_06_Day42_10820	38669	day42CE
SRR8445596	C166_09_Day42_10830	49266	day42CE
SRR8445644	C166_11_Day42_10857	51500	day42CE
SRR8445628	C166_12_Day42_10695	86722	day42CE
SRR8445650	C166_22_Day42_11735	118	day42CE
SRR8445608	C166_23_Day42_11719	209	day42CE
SRR8445654	C166_24_Day42_11731	171	day42CE
SRR8445623	C166_25_Day42_11727	195	day42CE
SRR8445648	C166_26_Day42_11743	102853	day42CE
SRR8445627	C166_27_Day42_11723	65524	day42CE
SRR8445603	C166_32_Day42_11702	17043	day42CE
SRR8445600	C166_33_Day42_11705	186	day42CE
SRR8445605	C166_34_Day42_11708	222	day42CE
SRR8445640	C166_35_Day42_12646	149626	day42CE
SRR8445637	C166_36_Day42_12649	31015	day42CE
SRR8445681	C166_01_Day42_10807	3083	day42CE
SRR8445658	C166_18_Day42_10891	49993	day42CE
SRR8445657	C166_25_Day42_12226	85859	day42CE
SRR8445675	C166_39_Day42_12232	95512	day42CE
SRR8445679	C166_40_Day42_12237	62320	day42CE
SRR8445519	C166_09_Day56_10938	23714	day56CE
SRR8445508	C166_09_Day56_11537	51372	day56CE
SRR8445475	C166_09_Day56_11550	35920	day56CE
SRR8445497	C166_26_Day56_11744	67775	day56CE
SRR8445594	C166_05_Day56_10827	56695	day56CE
SRR8445550	C166_26_Day56_12218	15920	day56CE
SRR8445597	C166_09_Day56_10831	57584	day56CE
